language	year	period	date	sentence
english	2020	Pre-ChatGPT	2020-10-19	“18 months ago, we expelled a boy at Nations for selling drugs in six schools.
english	2020	Pre-ChatGPT	2020-05-05	” 41 Nigeria Centre for Disease Control (NCDC) staff and 17 World Health Organisation (WHO) staff are deployed at the moment to support the Kano response.
english	2020	Pre-ChatGPT	2020-09-28	⏰8.00pm ⚽️Liverpool v Arsenal Watch the match live at The Arch on six screens with surround sound commentary!
english	2020	Pre-ChatGPT	2020-10-11	A 13-year veteran of the department, he worked his way up the ranks of the department starting as an ambulance paramedic at Station 49, then going to the SFFD Academy and graduating as a paramedic and firefighter.
english	2020	Pre-ChatGPT	2020-11-21	A 1975 class ring from Robert E. Lee High School in Houston was found near the bones.
english	2020	Pre-ChatGPT	2020-01-31	A 2014 resurgence in Polio when there were 359 reported cases of wild poliomyelitis, spread over 12 countries including Pakistan.
english	2020	Pre-ChatGPT	2020-03-06	“A 30% correction sounds scary right, but the Dow, S&P 500 and the Nasdaq rallied to nearly 30% in just one year last year.
english	2020	Pre-ChatGPT	2020-11-03	A 33-year-old Bothwell man was arrested and charged with public mischief.
english	2020	Pre-ChatGPT	2020-09-11	A 58-year-old barrister who served in the Home Office and the attorney general’s office, Mr. Jones rose to become the government’s senior lawyer, rendering judgment on the legality of new legislation.
english	2020	Pre-ChatGPT	2020-06-20	A 911 call was made by a Wendy’s employee after Brooks fell asleep behind the wheel while in the drive-thru line.
english	2020	Pre-ChatGPT	2020-11-13	Aaron, as a Black man and candidate in a local election in Humboldt County, has had to discover ways to manage his own stress and anxiety.
english	2020	Pre-ChatGPT	2020-12-05	Aaron has been a valuable member of Alexandria since before he recruited members of Rick's group to the Safe Zone.
english	2020	Pre-ChatGPT	2020-10-28	Aave (AAVE) traded 5.4% lower against the dollar and now trades at $34.47 or 0.00250836 BTC.
english	2020	Pre-ChatGPT	2020-05-05	Abandoning a healthy and highly productive scientific collaboration at such a juncture was not a very sound move.
english	2020	Pre-ChatGPT	2020-07-18	Abang Johari said it was imperative for the state to restore the status of Sabah and Sarawak as regional partners after the departure of Singapore in 1965 from the Federation of Malaysia.
english	2020	Pre-ChatGPT	2020-04-03	"ABC's ""Modern Family"" ends its 11-season run with a two-hour finale on Wednesday."
english	2020	Pre-ChatGPT	2020-03-26	A Beer Store spokesperson couldn’t be reached for comment at press time.
