language	year	period	date	sentence
russian	2020	Pre-ChatGPT	2020-05-15	"7 мая в н.п. Саханка произошел взрыв хранилища боеприпасов из-за нарушения мер безопасности, в результате которого погиб один российский наемник и шестеро получили тяжелые ранения"", - говорится в сообщении."
russian	2020	Pre-ChatGPT	2020-09-11	«8,5 млрд рублей на детские выплаты в сентябре выделило Правительство РФ»
russian	2020	Pre-ChatGPT	2020-11-24	AMIGO, Т.е. если туда придет очередной ара любящий рассказывать ничего ему не стоящие сказки о дружбе с Россией, то тогда деньги пенсионеров можно и отдавать что ли?
russian	2020	Pre-ChatGPT	2020-02-17	Asiana Airlines отменила рейсы на шести маршрутах в Китай, сократила их количество еще на 15 маршрутах, оставив без изменений только полеты по пяти самым популярным направлениям.
russian	2020	Pre-ChatGPT	2020-02-17	Boeing 777 авиакомпании Nordwind, летевший из Уфы в Пхукет, экстренно сел в московском аэропорту Шереметьево.
russian	2020	Pre-ChatGPT	2020-08-22	BossLogic показал Дженсена Эклса в роли Солдатика в третьем сезоне «Пацанов»
russian	2020	Pre-ChatGPT	2020-09-08	C 11 по 16 сентября в Иркутске пройдут соревнования первого этапа Кубка России по хоккею с мячом.
russian	2020	Pre-ChatGPT	2020-08-18	ChangXin получил доступ более чем к 10 миллионам документов и базам данным Qimonda совокупным объёмом 2,8 терабайта.
russian	2020	Pre-ChatGPT	2020-02-20	CMC: переживет ли союз России и Турции новое обострение в Сирии?
russian	2020	Pre-ChatGPT	2020-03-24	COVID-19 у нее не обнаружили, сообщает со ссылкой на президента Дональда Трампа.
russian	2020	Pre-ChatGPT	2020-11-16	Disney из-за пандемии потерял более $7 миллиардов операционной прибыли.
russian	2020	Pre-ChatGPT	2020-01-13	Experience PlayStation продлится до 16 февраля 2020 года.
russian	2020	Pre-ChatGPT	2020-03-30	Facepunch Studios также над песочницей S&BOX на Unreal Engine 4 — её анонсировали ещё в 2017 году, однако блог игры не обновлялся с 2018 года.
russian	2020	Pre-ChatGPT	2020-07-23	For Honor предлагает сражения в ближнем бою на разнообразных локациях.
russian	2020	Pre-ChatGPT	2020-08-12	Ghost Pacer был выставлен для финансирования на Kickstarter, где он уже собрал более 82 000 долларов, при цели в 25 000 долларов.
russian	2020	Pre-ChatGPT	2020-08-14	Horizon Zero Dawn вышла на ПК 7 августа 2020 года.
russian	2020	Pre-ChatGPT	2020-03-31	Houseparty — это сервис для групповых видеозвонков, который Epic приобрела в июне 2019 года.
russian	2020	Pre-ChatGPT	2020-08-12	JCB — крупный международный платежный бренд, один из ведущих эмитентов и эквайеров банковских карт в Японии.
russian	2020	Pre-ChatGPT	2020-12-23	K-Fest 2020 — это возможность побывать в Корее в условиях закрытых границ, ведь для онлайна их не существует.
