language	year	period	date	sentence
russian	2021	Pre-ChatGPT	2021-05-22	11 700 человек забронировали себе время на вакцинацию к часу дня.
russian	2021	Pre-ChatGPT	2021-12-19	«15 декабря после двух часов дня беременная женщина вызвала такси в больницу из Копейска в Челябинск.
russian	2021	Pre-ChatGPT	2021-07-17	«19 июля Президент Касым-Жомарт Токаев проведет рабочее совещание с участием Премьер-министра, руководителей ведомств, акимов городов и областей по санитарно-эпидемиологической ситуации в стране», — написал Берик Уали.
russian	2021	Pre-ChatGPT	2021-08-13	«21,1% опрошенных считает, что суд над Виктором Медведчуком – это не что иное, как репрессии против политического оппонента, который будет основным конкурентом нынешнего Президента Украины во время следующей избирательной кампании», – пишет EU Today.
russian	2021	Pre-ChatGPT	2021-10-15	«22 июля 1941 г. в 3 часа утра к инвалидному дому «Свобода» в деревне Могутово Новосельского района подъехали три грузовые автомашины, на которые погрузили 125 мужчин-инвалидов.
russian	2021	Pre-ChatGPT	2021-01-14	$25 млн получит исследовательский центр Propel Center при университетах и колледжах, исторически предназначенных для темнокожих.
russian	2021	Pre-ChatGPT	2021-05-27	Al Modon (Ливан): что, если Башар Асад действительно станет президентом?
russian	2021	Pre-ChatGPT	2021-05-20	AWAZ соберет ярких представителей разнообразных музыкальных направлений, формирующих эклектичную картину современной сцены.
russian	2021	Pre-ChatGPT	2021-08-15	Az доктор юридических наук, профессор, руководитель кафедры Академии Государственного управления при Президенте АР Намик Алиев.
russian	2021	Pre-ChatGPT	2021-09-19	Az со ссылкой на РИА Новости, об этом заявил глава МИД Франции Жан-Ив Ле Дриан.
russian	2021	Pre-ChatGPT	2021-06-20	Babylon Bee: американские рабочие наряжаются русскими, чтобы устроиться на «Северный поток — 2»
russian	2021	Pre-ChatGPT	2021-07-23	Cенатор от Республиканской партии Тед Круз заявил о капитуляции американского лидера Джо Байдена и его администрации перед Россией из-за трубопровода «Северный поток-2».
russian	2021	Pre-ChatGPT	2021-06-22	«C потом и дыханием выходит много жидкости и электролитов, которые нужно восполнять», — добавила Маршинцева.
russian	2021	Pre-ChatGPT	2021-01-16	Facebook пыталась согласиться на $550 млн в июне 2020 года, но судья отклонил эту сделку, посчитав сумму недостаточной.
russian	2021	Pre-ChatGPT	2021-12-01	Ferrеxpo plc владеет 100% акций Ferrexpo AG, которой, в свою очередь, принадлежит 100% акций Полтавского ГОКа и 100% акций Еристовского ГОКа.
russian	2021	Pre-ChatGPT	2021-07-29	Google должен выплатить штраф в размере трех миллионов рублей за отказ создать локализованные базы данных российских пользователей.
russian	2021	Pre-ChatGPT	2021-10-23	Google утверждает, что между переименованиями должно пройти время, якобы, чтобы убедиться в правильности нового названия.
russian	2021	Pre-ChatGPT	2021-10-08	Instagram же, напротив, в значительной степени фокусирует внимание именно на теле и образе жизни.
russian	2021	Pre-ChatGPT	2021-09-09	James B. diGrize, они имеют ввиду может то, что у нас был печальный случай с военными вблизи испытаний.
russian	2021	Pre-ChatGPT	2021-03-21	Liquid Swords — это не только самый кинематографичный, но и самый вутанговский по эстетике альбом Wu-Tang Clan: мистическое, пронизанное восточной философией, шахматами, криминалом и кодексом чести путешествие.
russian	2021	Pre-ChatGPT	2021-06-01	Manizha уже провела несколько концертов в разных городах, на которых поклонницы благодарили артистку за ее мировоззрение.
russian	2021	Pre-ChatGPT	2021-05-16	Miss Understanding, Будете ли вы праздновать на этой неделе 100 летие провозглашения Тамбовской демократической республики носителями георгиевских ленточек?
russian	2021	Pre-ChatGPT	2021-03-26	MOBILE ZONE вновь станет площадкой для жаркого турнира по Hearthstone.
russian	2021	Pre-ChatGPT	2021-06-04	MOLFAR — о приоритетах, Mad Heads UA и реакции группы на сольный проект.
russian	2021	Pre-ChatGPT	2021-10-12	NFT-игры Intellivision, цена трилогии GTA, подорожание игр в PS Store, хэллоуинское событие в Siege…
russian	2021	Pre-ChatGPT	2021-10-29	OMV выступает партнером по проекту «Северный поток-2», она вложила в него 729 миллионов евро.
russian	2021	Pre-ChatGPT	2021-11-20	Portia начинает путь на центральной башне платформы, с которой открывается вид на две коробки, но лишь одна из них содержит потенциальную пищу.
russian	2021	Pre-ChatGPT	2021-07-13	P. S. Ни один Давидик не пострадал», — подписала жена рэпера.
russian	2021	Pre-ChatGPT	2021-03-01	Realme предложит варианты X9 Pro, оснащённые флеш-накопителем вместимостью 128 и 256 Гбайт.
russian	2021	Pre-ChatGPT	2021-12-14	Rīgas satiksme призывает не откладывать оплату и делать платежи в указанные сроки, а также не ждать напоминаний о задолженностях.
russian	2021	Pre-ChatGPT	2021-05-19	RT, Бессараб отметила, что сейчас проходит цифровизация всех государственных и муниципальных услуг.
russian	2021	Pre-ChatGPT	2021-12-09	RU в администрации, вход на территорию будет свободным, но QR-код пригодится взрослым, которые захотят принять участие в интерактивах.
russian	2021	Pre-ChatGPT	2021-06-28	RU, виной тому были якобы махинации с госзакупками, однако в ведомстве опровергли эту информацию.
russian	2021	Pre-ChatGPT	2021-11-18	RU во власти, Чемезов приглашен на организованный Кремлем семинар для кураторов политики в регионах.
russian	2021	Pre-ChatGPT	2021-06-16	RU в поликлинике поселка Красногорский, откуда поступила жалоба в паблик.
russian	2021	Pre-ChatGPT	2021-03-04	RU в сургутском аэропорту сообщил, что пассажиры рейса уже улетели на замененном самолете.
russian	2021	Pre-ChatGPT	2021-05-21	RU высмеяли ведущего «Первого канала» Владимира Познера за его фразу о людях «со старыми мозгами», которые находятся у власти в России.
russian	2021	Pre-ChatGPT	2021-07-13	Ru» заместитель директора Центра комплексных европейских и международных исследований призвал не делать критичных выводов, исходя лишь из замедления в течение одного квартала.
russian	2021	Pre-ChatGPT	2021-05-07	RU заявил первый президент Украины, председатель киевской делегации в Трехсторонней группе по Донбассу Леонид Кравчук.
