language	year	period	date	sentence
russian	2019	Pre-ChatGPT	2019-05-09	100 рублей выиграли, 500 тоже, а об автомобиле мечтали!
russian	2019	Pre-ChatGPT	2019-11-14	«11 ноября средний чек российских покупателей на китайских онлайн-площадках составил 1349 рублей.
russian	2019	Pre-ChatGPT	2019-01-11	«13 и 14 января в области ожидаются местами снег, метель.
russian	2019	Pre-ChatGPT	2019-10-13	«14 октября 2019 президент Украины Владимир Зеленский с рабочей поездкой посетит Донецкую область», - отметили в облгосадминистрации.
russian	2019	Pre-ChatGPT	2019-02-04	"17 инсталляций позволят воплотиться вашим мечтам о путешествии в самые разные уголки мира"", – обещают в музее."
russian	2019	Pre-ChatGPT	2019-02-01	"1983"" — польский сериал, в котором интересно то, что в нем показывают будущее, созданное в результате заговора и избавления от СССР и коммунистов."
russian	2019	Pre-ChatGPT	2019-04-17	2019 год - это год 115-летия со дня образования профсоюзного движения.
russian	2019	Pre-ChatGPT	2019-09-14	Al-Arabiya и Associated Press уточняли, что одно из пострадавших сооружений — нефтеперерабатывающий завод в Абкайке, который Saudi Aramco называет крупнейшим в мире.
russian	2019	Pre-ChatGPT	2019-11-21	Alien: Isolation вышла в 2014 году на ПК и консолях прошлого и нынешнего поколения.
russian	2019	Pre-ChatGPT	2019-05-13	Anheuser-Busch InBev NV / SA (AB InBev) - крупнейшая пивоваренная компания в мире.
russian	2019	Pre-ChatGPT	2019-10-29	Bloomberg: Эра квантовых компьютеров началась, но готов ли мир?
russian	2019	Pre-ChatGPT	2019-09-09	Bosch может помочь нам коммерциализировать очень сложные компоненты транспортных средств, а Hanwha может обеспечить нам чистую энергию в местах, где это возможно, - говорит генеральный директор компании Nikola Тревор Милтон.
russian	2019	Pre-ChatGPT	2019-07-03	CSSC и CSIC были созданы в июле 1999 г. в рамках усилий, направленных на повышение конкуренции и эффективности оборонных предприятий страны.
russian	2019	Pre-ChatGPT	2019-05-07	DADA Agency ищет опытного senior account в штат московского офиса.
russian	2019	Pre-ChatGPT	2019-03-22	Deutsche Welle отмечает, что это не единственное «фактически брошенное в Испании» судно Мурманского морского пароходства.
russian	2019	Pre-ChatGPT	2019-04-11	DJ Smash получил долю Черемушкинского рынка: Офис: Дом: Lenta.
russian	2019	Pre-ChatGPT	2019-12-28	Extrasens, 30 ноября появились документы, где протоирей Тер Макар Тертерян сообщает, что мемориальная доска Нжде на территории церкви в Армавире демонтирована.
russian	2019	Pre-ChatGPT	2019-11-18	Fast & Furious: Spy Racers выйдет 26 декабря на Netflix.
russian	2019	Pre-ChatGPT	2019-08-26	G7: встреча в нормандском формате состоится в ближайшие недели: Яндекс.
russian	2019	Pre-ChatGPT	2019-10-07	GNU это организация Столлмана с участием на добровольной основе.
russian	2019	Pre-ChatGPT	2019-05-16	Group-IB проанализировала инфраструктуру, которая использовалась для технического сопровождения онлайн-голосования, а также IVR и смс-трафик на предмет автоматизированной рассылки и других способов накрутки голосов.
russian	2019	Pre-ChatGPT	2019-11-21	Homeco - молодой экологический клуб, который образован при поддержке министерства экологии и природных ресурсов Нижегородской области.
russian	2019	Pre-ChatGPT	2019-12-02	Huawei Watch GT 2 имеют встроенный динамик и память для хранения до 500 mp3-треков, которыми удобно управлять.
russian	2019	Pre-ChatGPT	2019-09-21	Mercedes-Benz начал дорожные испытания внедорожника GLE следующего поколения в Индии.
russian	2019	Pre-ChatGPT	2019-07-02	NASA готовит полет на астероид Психея, туда планируется отправить зонд для исследования поверхности небесного тела.
russian	2019	Pre-ChatGPT	2019-12-17	"N;A: ""Хорошие"" ""люди"" делают ужасные вещи, потому что не знают больше что им делать."
russian	2019	Pre-ChatGPT	2019-09-15	Pro опять приплели к X, за что она и поплатилась - но это Sony виновата.
russian	2019	Pre-ChatGPT	2019-12-07	PS единственный вариант при котором можно вводить регистрацию по ПИНФЛ — если создадут рубрику которую будут курировать Генпрокурату, Минюст и МВД разом.
russian	2019	Pre-ChatGPT	2019-12-10	Quantic Dream также выпустила летом 2019 года ещё две своих игры, которые до этого были эксклюзивами консолей PlayStation — Heavy Rain и Beyond: Two Souls.
russian	2019	Pre-ChatGPT	2019-05-01	Renault Megane, который очевидцы видели скачущим ни с того ни с сего, возможно, имел ржавый пусковой провод, а при парковке была включена задняя передача.
russian	2019	Pre-ChatGPT	2019-09-11	Reuters сообщает, что борьба грозит сказаться на нынешнем главе государства, а также усилить раскол в рядах правящей партии «Зимбабвийский африканский национальный союз — Патриотический фронт».
russian	2019	Pre-ChatGPT	2019-02-05	RFI: В декабре прошлого года на вопрос о желании переехать за границу 61% респондентов ответил вам — «определенно нет».
russian	2019	Pre-ChatGPT	2019-09-12	RingFit Adventure было бы отличным названием для моего первого опыта игры в Dark Souls, в те давние времена, когда я ещё был казуалом.
russian	2019	Pre-ChatGPT	2019-12-23	Ru») и уровнем инфляции, но есть определенная премия за риск.
russian	2019	Pre-ChatGPT	2019-10-02	Ru» — о новом этапе кризиса в испанском гранде и возможном увольнении именитого наставника.
