language	year	period	date	sentence
german	2022	Pre-ChatGPT	2022-11-19	Ab 1,2 Promille zahlt man 1200 bis 4400 Euro und der Schein ist für mindestens vier Monate weg.
german	2022	Pre-ChatGPT	2022-07-30	Ab 20.30 Uhr (Sky und Sat.1) an diesem Samstag in Leipzig herrscht Supercup-Zeit.
german	2022	Pre-ChatGPT	2022-08-05	Ab Anfang des Sommers wurden dann auch in Hunderte Fälle gemeldet.
german	2022	Post-ChatGPT	2022-12-03	ABB gehe davon aus, dass der weltweite Robotikmarkt von heute 80 Milliarden auf 130 Milliarden Dollar im Jahr 2025 wachsen werde.
german	2022	Pre-ChatGPT	2022-03-10	Ab dem 20. März sollen viele Schutzmaßnahmen nicht mehr gelten.
german	2022	Pre-ChatGPT	2022-08-11	Ab Donnerstag, 18. August, wird die Fahrbahn in Fahrtrichtung Rauenberg vom Knoten L 723/L 598 bis zur Dietmar-Hopp-Allee saniert.
german	2022	Pre-ChatGPT	2022-01-14	“-Abend bei Christian startet, dürfen sich seine Gäste wie immer vorab das Menü anschauen – und fröhlich rätseln.
german	2022	Pre-ChatGPT	2022-01-19	Abenteuer sind gefährlich – aber Routine ist tödlich.
german	2022	Pre-ChatGPT	2022-08-12	Aber Achtung: Hunde sind auf dem Perwanger Badeplatz nicht erlaubt.
german	2022	Pre-ChatGPT	2022-06-04	Aber als Mama natürlich macht es mir eine riesengroße Freude, dass ich mit meiner Tochter einen Song auf der Bühne präsentieren darf, den sie selbst auch geschrieben hat.“
german	2022	Pre-ChatGPT	2022-02-16	Aber auch auf Seiten der Gastgeber will und muss man sich nicht verstecken.
german	2022	Pre-ChatGPT	2022-07-26	Aber auch daran, dass selbst Android-Handys, die zum Start teuer sind, schnell im Preis fallen.
german	2022	Pre-ChatGPT	2022-07-15	Aber auch die Wettkampf-Saison ist mittlerweile im vollen Gange.
german	2022	Pre-ChatGPT	2022-08-21	Aber auch eine Vielzahl an exzellenten Blumenmotiven finden sich in der Kirche.
german	2022	Pre-ChatGPT	2022-11-21	Aber auch im nächsten Jahr werde es einen Rückgang geben.
german	2022	Pre-ChatGPT	2022-03-18	Aber auch in der derzeitigen angespannten Situation könne die geforderte, rasche Reduktion einen enormen Beitrag leisten.
german	2022	Post-ChatGPT	2022-12-18	Aber auch in diesem Fall kann der Caritasverband Tipps geben.
german	2022	Pre-ChatGPT	2022-04-28	Aber auch so fragt man sich: Wie konnten sie das ihrer „Mutter Courage“ antun?
