language	year	period	date	sentence
german	2019	Pre-ChatGPT	2019-11-08	«100 000 Franken hier bei uns sind in anderen Ländern unter Umständen ein Vielfaches wert.»
german	2019	Pre-ChatGPT	2019-10-20	A10-Brückenabschnitt östlich von Berlin wieder freigegeben - Berlin - Aktuelle Nachrichten - Berliner MorgenpostSie haben sich erfolgreich abgemeldet!
german	2019	Pre-ChatGPT	2019-08-13	AAM wird nun in den nächsten 30 Tagen die fällige Gebühr von EUR 500.000 an die Altech Australia überweisen.
german	2019	Pre-ChatGPT	2019-09-17	Aaron Carter muss Tour absagen: Wie schlecht geht es ihm wirklich?
german	2019	Pre-ChatGPT	2019-01-26	Aarón Martín dribbelt in den Strafraum, Behrens trifft ihn am Fuß.
german	2019	Pre-ChatGPT	2019-01-20	Ab 16 Uhr wird getaucht, und es gibt ein Foto-Shooting.
german	2019	Pre-ChatGPT	2019-08-15	Ab 1996 etwa wusste ich, dass das mein Weg ist.
german	2019	Pre-ChatGPT	2019-11-29	Ab 19 Uhr kann man Oblaten teilen, Pierogi essen und andere landestypische Spezialitäten entdecken.
german	2019	Pre-ChatGPT	2019-12-13	Ab 2020 sollen Radarwarn-Apps auf dem Smartphone verboten sein.
german	2019	Pre-ChatGPT	2019-01-16	Abbildung 2 zeigt: NW-SO-Profilschnitt mit Blickrichtung Nord der die Erweiterung der Ressource South Palokas durch TEM und VTEM elektromagnetische Leiter zeigt, die das Ausmaß der der Vererzung verdoppeln.
german	2019	Pre-ChatGPT	2019-10-24	"Abdi habe aber auch ""Vorbehalte gegenüber einigen Punkten"" der Vereinbarung zwischen Russland und der Türkei geäußert."
german	2019	Pre-ChatGPT	2019-04-25	Aber auch Clint Capela weiss: Die Golden State Warriors sind ein anderes Kaliber als die Utah Jazz mit Thabo Sefolosha.
german	2019	Pre-ChatGPT	2019-04-25	Aber auch dann werden nicht alle dem starken Gegenwind trotzen, dem sie durch den verspäteten Start ins Elektromobilzeitalter ausgesetzt sind.
german	2019	Pre-ChatGPT	2019-11-30	Aber auch diese Symptome werden oft noch nicht mit in Verbindung gebracht.
