language	year	period	date	sentence
german	2020	Pre-ChatGPT	2020-03-01	"11Freunde""-Chefredakteur Phillip Köster hat Recht, wenn er schreibt, dass Beleidigungen und Schmähungen seit Jahrzehnten Alltag im Fußball sind."
german	2020	Pre-ChatGPT	2020-07-11	"38 Jahre später - aber Leo-Print liebe ich noch immer manchmal"", kommentiert er das Jugendfoto, in welchem er mit einer Leopardenhose zu sehen ist."
german	2020	Pre-ChatGPT	2020-04-21	"40 oder 50 Bewohner werden gerade von den Rettungskräften verlegt - ganz ruhig, ohne Blaulicht"", sagte der Landrat im Rhein-Sieg-Kreis, Sebastian Schuster (CDU)."
german	2020	Pre-ChatGPT	2020-09-28	Aaron Hunt schlägt nach seinem Treffer den Ball weg und sieht dafür Gelb.
german	2020	Pre-ChatGPT	2020-07-30	Ab 14. Juli 2020 öffnet der Garten bis Ende September jeweils Dienstag und Mittwoch für die Allgemeinheit – kostenlos.
german	2020	Pre-ChatGPT	2020-10-06	Ab Anfang 1974 lernt er die Konzentrationslager kennen.
german	2020	Pre-ChatGPT	2020-09-28	Ab dem kommenden Jahr werden die an einer zentralen Stelle eingehobenen Rettungsdienstbeiträge via Bezirksstellen an die jeweiligen Ortsgruppen verteilt.
german	2020	Pre-ChatGPT	2020-04-22	Ab Donnerstag, 26. März, wird ein Zentrum für Abstriche bei Verdacht auf eine Infektion mit dem Corona-Virus eingerichtet.
german	2020	Pre-ChatGPT	2020-10-28	Abdulkarim, Mitte 20, kennt Alea Horst schon länger.
german	2020	Pre-ChatGPT	2020-06-07	Ab Ende Juni nimmt dafür der in Berlin ansässige Wohnungskonzern den Platz der Kranich-Linie ein, wie Indexbetreiber diese Woche bekannt gab.
german	2020	Pre-ChatGPT	2020-04-10	Aber 25 Prozent von einem Vertrag zu kürzen – das ist weniger als mein prognostizierter Ausfall in diesem Jahr.“
german	2020	Pre-ChatGPT	2020-04-26	Aber als die Verhandlungen katastrophal verlaufen, sind Sie dem Tode nahe - und Ihrer Zeit entrissen!
german	2020	Pre-ChatGPT	2020-12-15	Aber auch Bremen liefert hier eine wirklich ordentliche Partie ab.
german	2020	Pre-ChatGPT	2020-05-27	Aber auch das gilt nur für den Wirtschaftsstabilisierungsfonds der Bundesregierung.
german	2020	Pre-ChatGPT	2020-06-25	Aber auch einige demokratisch gewählte Regierungen bekämpften die Pandemie mit Hilfe von Notstandsbefugnissen, die die Menschenrechte einschränkten und die staatliche Überwachung ausweiteten.
german	2020	Pre-ChatGPT	2020-03-18	Aber auch für dieses Themenfeld wird, wenn wir zusammenhelfen, eine Lösung zu finden sein.
german	2020	Pre-ChatGPT	2020-09-27	Aber auch generell würde ein Boykott der Anhörungen die Demokraten einer zusätzlichen Möglichkeit berauben, über die Gefahren einer zweiten Amtszeit Trumps zu sprechen - und ihre Anhänger damit aufzurütteln.
german	2020	Pre-ChatGPT	2020-06-03	Aber auch in den Berufen des Baunebengewerbes, etwa bei den Elektronikern für Energie- und Gebäudewirtschaft oder im Heizungs- und Sanitärbereich, sind noch Stellen unbesetzt.
german	2020	Pre-ChatGPT	2020-11-14	Aber auch um das instand setzen der befahrbaren Wege muss sich Revierförster kümmern.
german	2020	Pre-ChatGPT	2020-06-13	Aber auch, wenn das Kind älter ist, gibt es Möglichkeiten.
german	2020	Pre-ChatGPT	2020-09-26	"Aber auf dieser Strecke brauchst du Grip am Kurveneingang"", sagt er."
german	2020	Pre-ChatGPT	2020-01-30	Aber besser als sparen, ist Geschenke zu machen.
german	2020	Pre-ChatGPT	2020-03-16	Aber bitte, wer sich akedemisren möchte, möge bitte versuchen exponentielles Wachstum zu verstehen.
german	2020	Pre-ChatGPT	2020-03-27	Aber Conze schien der falsche Mann zu sein.
german	2020	Pre-ChatGPT	2020-05-09	Aber da geht es nur um eine Hand.
german	2020	Pre-ChatGPT	2020-03-27	Aber dank eines rollierenden Modells können wir genau das in den sechs Kommunen abwechselnd anbieten.
german	2020	Pre-ChatGPT	2020-09-19	Aber dann spürt sie auf der ersten großen Demo in Berlin mit 5000 Teilnehmern ein Gemeinschaftsgefühl und beschließt, wie sie erzählt: „Das ist die Sache, auf die du gewartet hast, für die es sich zu kämpfen lohnt.“
german	2020	Pre-ChatGPT	2020-01-15	Aber das ganze Geld nützt nichts, wenn unsere Kinder und Enkel nur noch einen Müllhaufen vorfinden.
german	2020	Pre-ChatGPT	2020-11-01	Aber das Gefühl, mit allen Menschen zusammen zu sein, die meine Schwiegermutter im Leben begleitet haben, das hat gefehlt.
german	2020	Pre-ChatGPT	2020-04-16	Aber das hat der ehemalige englische Premierminister nie gesagt.
german	2020	Pre-ChatGPT	2020-06-17	Aber das ist einfach nur der erste Schritt“, sagte der sympathische Ehrgeizling.
german	2020	Pre-ChatGPT	2020-05-15	Aber das macht das Virus auch, wenn es ausbricht.
german	2020	Pre-ChatGPT	2020-08-02	Aber dass er sich allein um die alte, kranke gemeinsame Mutter Hanife kümmert, das findet Zafie schon besser, als selbst einmal auch nur einen Abend diese Pflege zu übernehmen.
german	2020	Pre-ChatGPT	2020-06-04	Aber dass es branchenübergreifend ist und nicht nur Teilaspekte abdeckt, finde ich sehr gut.“
german	2020	Pre-ChatGPT	2020-09-09	Aber das Signal 'Deutschland schafft das allein' wäre falsch.
german	2020	Pre-ChatGPT	2020-05-02	"Aber dass sogar CNN, die ""New York Times"" und ESPN berichten: Das ist neu."
german	2020	Pre-ChatGPT	2020-10-26	Aber das wollte ich nochmals in den Blickpunkt rücken – gerade in unserer politisch korrekten Zeit.
german	2020	Pre-ChatGPT	2020-06-03	Aber den wohl treffendsten Vergleich zog jener Meme-Macher, der bekannte Film-, Literatur- und Cartoon-Charaktere in dem Ensemble wiedererkannte.
german	2020	Pre-ChatGPT	2020-02-20	Aber der HBW schien sich nun zu fangen.
german	2020	Pre-ChatGPT	2020-08-03	Aber der Hollywood-Star hat auch ein großes Herz für den American Football.
german	2020	Pre-ChatGPT	2020-07-13	Aber: Der Massenausbruch des hat bei dem Fleischfabrikanten im einen schweren Imageschaden hinterlassen.
german	2020	Pre-ChatGPT	2020-07-03	Aber die Alternativen zu ihm sind nicht erfreulicher.
german	2020	Pre-ChatGPT	2020-07-02	Aber: Die Arbeitslosenrate ist bislang längst nicht auf die befürchteten 20 bis 30 Prozent gestiegen – im Mai lag sie bei 13,3 Prozent.
german	2020	Pre-ChatGPT	2020-11-01	Aber die Art, wie die verschiedenen Konflikte sich in dieser Staffel hochgeschaukelt haben – das ist meiner Meinung nach Quotengift für den Sonntagabend.
german	2020	Pre-ChatGPT	2020-08-10	Aber die Bundespolitik ist inzwischen ein extrem volatiles Geschäft geworden, weshalb am Ende häufig derjenige triumphiert, der den längsten Atem hat.
german	2020	Pre-ChatGPT	2020-11-15	Aber die Fähigkeit, die Reifen rasch auf Temperatur zu bringen, sollte sich später rächen, als die Strecke zwar sehr langsam, aber doch abtrocknete.
german	2020	Pre-ChatGPT	2020-04-11	Aber die Kleinen gehen Konkurs, wenn noch länger anhält.
german	2020	Pre-ChatGPT	2020-12-05	Aber die konstruktive Haltung ist eben, sich zu fragen: Was kann ich denn eigentlich dafür tun, damit es mir wenigstens ein bisschen besser geht?
german	2020	Pre-ChatGPT	2020-10-29	Aber die nächsten Jahre werden wirtschaftlich und finanziell durch die Folgen der Pandemie noch einmal eine besondere Herausforderung.
german	2020	Pre-ChatGPT	2020-09-25	Aber die Öffnung des Landes kam offensichtlich zu früh.
german	2020	Pre-ChatGPT	2020-04-01	Aber diese Form der Solidarität, die zweifellos ausgesprochen wichtig ist, stellt nur einen Teil der notwendigen Solidarität dar, die jetzt gefordert ist.
german	2020	Pre-ChatGPT	2020-03-27	Aber diese Masken sollen eigentlich im Krankenhaus getragen werden, damit sich das Krankenhauspersonal nicht bei Personen ansteckt.
german	2020	Pre-ChatGPT	2020-04-04	Aber die Situation gebietet es eben, zu Hause zu bleiben.
german	2020	Pre-ChatGPT	2020-06-02	"Aber: Die Soldaten seien ""keine willfährigen Zeitarbeiter, die für ein paar Euro die Stunde die Pakete sortieren"", erklärte Laimer in einer Aussendung verärgert."
german	2020	Pre-ChatGPT	2020-02-11	Aber die Tragödie unserer Geschichte ist: Wir sind politisch nicht organisiert, wir haben diese Tradition nicht.
german	2020	Pre-ChatGPT	2020-06-24	Aber eben: Der Arbeitsmarkt steht sogar vor «historischen Herausforderungen», wie die «Freiburger Nachrichten» neulich vermeldeten.
german	2020	Pre-ChatGPT	2020-09-02	"Aber eine - wie von Ministerpräsident Stephan Weil angestrebte - erneute rot-grüne Koalition sei ""nicht zwingend ein Automatismus"", so die Grünen-Politikerin."
german	2020	Pre-ChatGPT	2020-02-14	Aber erst jetzt, beim Abonnementskonzert der HR-Sinfoniker in der Alten Oper Frankfurt, fernab vom Open-Air-Event, war der 45-Jährige in seinem Profil als Orchesterleiter und Interpret genauer zu erfassen.
german	2020	Pre-ChatGPT	2020-05-08	Aber es geht auch ohne Familie: Bereits vom 8. Mai an dürfen sich wieder mehrere Angehörige von zwei Haushalten treffen – und zwar sowohl im privaten als auch im öffentlichen Raum.
german	2020	Pre-ChatGPT	2020-07-31	Aber es gibt auch andere Zeugen, die mehr wissen.
german	2020	Pre-ChatGPT	2020-09-21	Aber es gibt auch viele, die vor allem an sich selbst denken.
german	2020	Pre-ChatGPT	2020-03-05	Aber es gibt eine Ausnahme: Steuercodes für Mobilfunknetze.
german	2020	Pre-ChatGPT	2020-10-07	Aber es ist eben auch kein normaler Spieltag.
german	2020	Pre-ChatGPT	2020-02-26	Aber es könnte die Hoffnung nähren, endlich einen Schlussstrich unter das von vielen als unsäglich empfundene Kapitel „Metoo“ zu ziehen.
german	2020	Pre-ChatGPT	2020-12-01	Aber es sind mehr als zehn oder zwanzig.“
german	2020	Pre-ChatGPT	2020-11-07	Aber geplant hatten beide Seiten fuer den Anderen ein niedliches Versailles.
german	2020	Pre-ChatGPT	2020-07-13	Aber Ghislane Maxwell, der lebenslange Haft droht, könnte vor Gericht wie eine Nachtigall singen, nur um die Haftstrafe zu reduzieren.
german	2020	Pre-ChatGPT	2020-01-26	Aber hat man ein paar Jahre lang keine Paarzeit, ist man bald auch kein Paar mehr.
german	2020	Pre-ChatGPT	2020-11-22	Aber ich ärgere mich natürlich über den späten Ausgleich.
german	2020	Pre-ChatGPT	2020-04-27	Aber ich glaube, dass es nicht die Musik ist, die die Menschen depressiv macht, sondern die Gefühle, die in den Menschen sind und durch die Musik ausgelöst werden.
german	2020	Pre-ChatGPT	2020-10-18	Aber im April sah sich der Vorstand dann doch zu dem Schritt gezwungen, den nahezu alle Freilichtbühnen gehen mussten.
