language	year	period	date	sentence
english	2019	Pre-ChatGPT	2019-11-23	“90% of African men prefer plus size women for marriage.”
english	2019	Pre-ChatGPT	2019-05-24	A 51-year-old career diplomat in rimless glasses, Klein is Germany’s first federal Commissioner for Jewish Life in Germany and the Fight Against Anti-Semitism, a lengthy job title for a position that was created just last year.
english	2019	Pre-ChatGPT	2019-01-04	A €64 million transfer isn’t quite the same thing.
english	2019	Pre-ChatGPT	2019-06-07	AAA expects prices at the pump to drop by at least 10 cents in the coming weeks, as many drivers hit the road for summer vacations.
english	2019	Pre-ChatGPT	2019-01-06	A autopsy will be performed at a later date in Newberry.
english	2019	Pre-ChatGPT	2019-12-18	A bag of chips or a sugary donut is beacon for late-night hunger pangs.
english	2019	Pre-ChatGPT	2019-02-27	A ball is played through to Ellen White, who is a half-step late in arriving as Aline charges out for it.
english	2019	Pre-ChatGPT	2019-10-29	Abandoning Titans Tower, the heroes all go their separate ways.
english	2019	Pre-ChatGPT	2019-07-03	Abby Jean Hendsbee earned an Acadia Renewable Scholar Award of $16,000, Acadia Renewable Scholar Award valued at $4,000, Acadia Residence Scholarship of $2,500, James Wilson Award for $275 and the A Roy Award of $50.
english	2019	Pre-ChatGPT	2019-06-05	ABC’s editorial director Craig McMurtie speaks to media as the raid unfolded in Sydney.
english	2019	Pre-ChatGPT	2019-10-22	Abdullahi Adan, the chairman of the Wadaag political think tank based in Mogadishu, said that the presence of Amisom is hindering them from strengthening their ability to fight Al Shabaab.
english	2019	Pre-ChatGPT	2019-01-04	Abercrombie & Fitch (NYSE:ANF) last issued its earnings results on Thursday, November 29th.
english	2019	Pre-ChatGPT	2019-03-28	A Beverly couple has been indicted on charges of prostitution and trafficking women for sex at a Salem brothel that authorities allege was a front for human trafficking, Attorney General Maura Healey said.
english	2019	Pre-ChatGPT	2019-07-02	Abia people rejected them and overwhelmingly, transparently reelected Governor Ikpeazu for a second term, so as to enable him consolidate the gains made so far, during his first term.”
english	2019	Pre-ChatGPT	2019-07-30	A billboard with an image of Democratic presidential hopeful Sen. Elizabeth Warren (D-MA) in San Francisco, California.
english	2019	Pre-ChatGPT	2019-10-03	"A bipartisan report suggests that Trump's presidency has pushed federal science programs to a ""crisis"" point."
english	2019	Pre-ChatGPT	2019-10-11	Abiy had been bookmakers’ second favorite to win, behind the teenage Swedish climate change campaigner Greta Thunberg.
english	2019	Pre-ChatGPT	2019-11-22	A black and white cat sits calmly on a fence post, seemingly without a care in the world.
english	2019	Pre-ChatGPT	2019-09-01	A book recently published in Switzerland will be of interest to readers worldwide – and they won't have to wait for it to be translated.
english	2019	Pre-ChatGPT	2019-01-04	About $900,000 was withdrawn as cash or sent to checking accounts overseas, according to an indictment.
english	2019	Pre-ChatGPT	2019-07-26	About three years ago, I was struck by just how much change was happening in the city and how much building was happening, how much renovation is going on, new people moving to the city—just, you know, new energy.
english	2019	Pre-ChatGPT	2019-11-12	A Brexit Party candidate branded Mr Farage's tactical decision not to contest Tory-held seats to avoid splitting the Leave vote as a 'disgrace to politics'.
english	2019	Pre-ChatGPT	2019-07-02	A British man who shot dead his 6-year-old great-grandson with an air rifle has been sentenced to three years behind bars.
english	2019	Pre-ChatGPT	2019-10-09	Absolutely superb night at Shindig / Mainyard, this vocal goes perfect with pic.
english	2019	Pre-ChatGPT	2019-06-26	“Access to clean and stable energy is a prerequisite for job creation and development.
english	2019	Pre-ChatGPT	2019-04-12	Accompanying it is Riverside Park, which also offers a playground, a walking path and a softball diamond.
english	2019	Pre-ChatGPT	2019-12-10	According the pie chart, the percentage of respondents who agreed that “I would be in danger if my identity were exposed” is still small, but it grew significantly between 2018 and 2019.
english	2019	Pre-ChatGPT	2019-10-18	According to agent Savills’ 2019 global living report, Australian PBSA ranks as the most superior on measures such as affordability, regulations, student numbers and university rankings and fees.
english	2019	Pre-ChatGPT	2019-10-10	According to a news release from the Calgary Police Service (CPS), officers arriving at the scene became involved in a confrontation with three people, which resulted in one officer firing their service weapon.
english	2019	Pre-ChatGPT	2019-02-15	According to another order, Naseer Ahmad Wani, KAS, Additional Deputy Commissioner, Ganderbal has been transferred and posted as OSD with Advisor (KS) to the Governor.
english	2019	Pre-ChatGPT	2019-04-02	According to AP VoteCast, a survey of more than 115,000 midterm voters nationwide, nearly 4 in 10 Democratic voters identified health care as the most important among a list of key issues.
english	2019	Pre-ChatGPT	2019-08-05	According to a résumé she posted on LinkedIn, she spent the summer in Montana working as a tour guide at the Missoula Smokejumper Visitor Center.
english	2019	Pre-ChatGPT	2019-10-27	According to Calderhead, who trained in the UK as a pathologist and who maintains a healthy Scottish accent, phototherapy has two true godfathers.
english	2019	Pre-ChatGPT	2019-04-04	"According to current scientific insights, the use of a shock collar is ""a serious, inescapable violation of the welfare of the dog"", Schouten wrote in a letter to parliament."
english	2019	Pre-ChatGPT	2019-09-23	According to Data USA, 8,500 people were employed in the town of Murray in 2017, and the median household income was $27,282.
english	2019	Pre-ChatGPT	2019-11-01	According to Dodd, the best way to measure how far his team has progressed since he took over the program at the beginning of last year is how they perform against the bigger schools and also common opponents.
english	2019	Pre-ChatGPT	2019-02-15	According to experts analyzing the e-commerce giant's sudden cancellation of plans to build a massive headquarters in New York City, Amazon's decision to walk away could scare off other tech companies considering moving to or expanding in the city.
english	2019	Pre-ChatGPT	2019-11-16	According to FiveThirtyEight, a Rams win would raise their playoff changes to 29 percent, a loss would drop the team to 8 percent.
english	2019	Pre-ChatGPT	2019-09-19	According to Gradisher, these three videos are only a tiny fraction of UAPs that Navy trainees report seeing in training ranges.
